Datum,Temperatur,Humidity
2021-03-04 04:13:01,22.5,37.8
2021-03-04 04:14:05,22.5,37.8
2021-03-04 04:15:01,22.5,37.8
2021-03-04 04:16:01,22.5,37.8
2021-03-04 04:17:01,22.5,37.8
2021-03-04 04:18:01,22.5,37.8
2021-03-04 04:19:02,22.5,37.8
2021-03-04 04:20:02,22.5,37.8
2021-03-04 04:21:01,22.5,37.8
2021-03-04 04:22:01,22.5,37.8
2021-03-04 04:23:01,22.6,37.8
2021-03-04 04:24:01,22.5,37.8
2021-03-04 04:25:01,22.5,37.8
2021-03-04 04:26:02,22.5,37.8
2021-03-04 04:27:02,22.5,37.8
2021-03-04 04:28:01,22.5,37.8
2021-03-04 04:29:01,22.5,37.8
2021-03-04 04:30:01,22.5,37.8
2021-03-04 04:31:01,22.5,37.8
2021-03-04 04:32:02,22.5,37.8
2021-03-04 04:33:02,22.5,37.8
2021-03-04 04:34:01,22.5,37.8
2021-03-04 04:35:01,22.5,37.8
2021-03-04 04:36:01,22.5,37.8
2021-03-04 04:37:01,22.5,37.8
2021-03-04 04:38:02,22.5,37.8
2021-03-04 04:39:02,22.5,37.8
2021-03-04 04:40:01,22.5,37.8
2021-03-04 04:41:01,22.5,37.8
2021-03-04 04:42:01,22.5,37.8
2021-03-04 04:43:01,22.4,37.8
2021-03-04 04:44:01,22.4,37.8
2021-03-04 04:45:02,22.5,37.8
2021-03-04 04:46:02,22.4,37.8
2021-03-04 04:47:01,22.4,37.8
2021-03-04 04:48:01,22.4,37.8
2021-03-04 04:49:01,22.4,37.8
2021-03-04 04:50:01,22.4,37.8
2021-03-04 04:51:02,22.4,37.8
2021-03-04 04:52:02,22.4,37.8
2021-03-04 04:53:01,22.4,37.8
2021-03-04 04:54:01,22.4,37.8
2021-03-04 04:55:01,22.4,37.8
2021-03-04 04:56:01,22.4,37.8
2021-03-04 04:57:02,22.4,37.8
2021-03-04 04:58:02,22.4,37.8
2021-03-04 04:59:01,22.4,37.8
2021-03-04 05:00:01,22.4,37.8
2021-03-04 05:01:01,22.4,37.8
2021-03-04 05:02:01,22.4,37.8
2021-03-04 05:03:01,22.4,37.8
2021-03-04 05:04:02,22.4,37.8
2021-03-04 05:05:02,22.4,37.8
2021-03-04 05:06:01,22.4,37.8
2021-03-04 05:07:01,22.4,37.8
2021-03-04 05:08:01,22.4,37.8
2021-03-04 05:09:01,22.4,37.8
2021-03-04 05:10:02,22.4,37.8
2021-03-04 05:11:02,22.4,37.8
2021-03-04 05:12:04,22.4,37.7
2021-03-04 05:13:01,22.4,37.8
2021-03-04 05:14:02,22.4,37.8
2021-03-04 05:15:02,22.4,37.8
2021-03-04 05:16:01,22.4,37.8
2021-03-04 05:17:01,22.4,37.8
2021-03-04 05:18:01,22.4,37.7
2021-03-04 05:19:01,22.4,37.8
2021-03-04 05:20:02,22.4,37.7
2021-03-04 05:21:02,22.4,37.7
2021-03-04 05:22:01,22.4,37.7
2021-03-04 05:23:01,22.4,37.7
2021-03-04 05:24:01,22.4,37.7
2021-03-04 05:25:01,22.4,37.7
2021-03-04 05:26:01,22.4,37.7
2021-03-04 05:27:02,22.4,37.7
2021-03-04 05:28:02,22.4,37.7
2021-03-04 05:29:01,22.4,37.7
2021-03-04 05:30:01,22.4,37.7
2021-03-04 05:31:01,22.4,37.7
2021-03-04 05:32:01,22.4,37.7
2021-03-04 05:33:02,22.4,37.7
2021-03-04 05:34:02,22.3,37.6
2021-03-04 05:35:01,22.4,37.7
2021-03-04 05:36:01,22.4,37.7
2021-03-04 05:37:01,22.4,37.7
2021-03-04 05:38:01,22.4,37.7
2021-03-04 05:39:01,22.3,37.6
2021-03-04 05:40:02,22.4,37.7
2021-03-04 05:41:02,22.4,37.7
2021-03-04 05:42:01,22.3,37.6
2021-03-04 05:43:01,22.3,37.6
2021-03-04 05:44:01,22.3,37.6
2021-03-04 05:45:01,22.4,37.7
2021-03-04 05:46:02,22.4,37.7
2021-03-04 05:47:02,22.3,37.6
2021-03-04 05:48:01,22.3,37.7
2021-03-04 05:49:01,22.3,37.6
2021-03-04 05:50:01,22.3,37.6
2021-03-04 05:51:01,22.3,37.7
2021-03-04 05:52:02,22.3,37.7
2021-03-04 05:53:02,22.4,37.7
2021-03-04 05:54:01,22.3,37.7
2021-03-04 05:55:01,22.3,37.6
2021-03-04 05:56:01,22.3,37.6
2021-03-04 05:57:01,22.3,37.7
2021-03-04 05:58:02,22.3,37.7
2021-03-04 05:59:02,22.3,37.7
2021-03-04 06:00:01,22.3,37.7
2021-03-04 06:01:01,22.3,37.7
2021-03-04 06:02:01,22.3,37.7
2021-03-04 06:03:01,22.3,37.7
2021-03-04 06:04:01,22.3,37.7
2021-03-04 06:05:02,22.3,37.7
2021-03-04 06:06:02,22.3,37.7
2021-03-04 06:07:01,22.3,37.7
2021-03-04 06:08:01,22.3,37.7
2021-03-04 06:09:01,22.3,37.7
2021-03-04 06:10:01,22.3,37.7
2021-03-04 06:11:02,22.3,37.7
2021-03-04 06:12:02,22.3,37.7
2021-03-04 06:13:01,22.3,37.7
2021-03-04 06:14:01,22.3,37.7
2021-03-04 06:15:01,22.3,37.7
2021-03-04 06:16:01,22.3,37.7
2021-03-04 06:17:01,22.2,37.6
2021-03-04 06:18:02,22.2,37.6
2021-03-04 06:19:02,22.2,37.7
2021-03-04 06:20:01,22.2,37.7
